Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
Ridge,121,33217.0,24394.0,0.2376,26801.0,20136.0,0.3995
Ridge,122,33447.0,24541.0,0.2274,26803.0,20142.0,0.3994
Ridge,123,33482.0,24556.0,0.2257,26799.0,20149.0,0.3996
Ridge,124,33482.0,24553.0,0.2257,26820.0,20163.0,0.3986
Ridge,125,33509.0,24566.0,0.2245,26821.0,20164.0,0.3986
Ridge,126,33550.0,24607.0,0.2227,26820.0,20157.0,0.3986
Ridge,127,33579.0,24617.0,0.2215,26820.0,20157.0,0.3987
Ridge,128,33646.0,24661.0,0.2183,26838.0,20182.0,0.3978
Ridge,129,33562.0,24619.0,0.2227,26965.0,20166.0,0.3921
Ridge,130,33559.0,24620.0,0.2229,26987.0,20176.0,0.3911
Ridge,131,33578.0,24641.0,0.2221,27025.0,20173.0,0.3894
Ridge,132,33603.0,24667.0,0.221,27030.0,20167.0,0.3892
Ridge,133,33656.0,24719.0,0.2186,27039.0,20168.0,0.3888
Ridge,134,33680.0,24719.0,0.2173,27104.0,20299.0,0.3858
Ridge,135,33706.0,24729.0,0.2162,27097.0,20276.0,0.3862
Ridge,136,33719.0,24741.0,0.2157,27101.0,20279.0,0.386
Ridge,137,33741.0,24770.0,0.2147,27117.0,20284.0,0.3852
Ridge,138,33746.0,24778.0,0.2145,27117.0,20283.0,0.3853
Ridge,139,33739.0,24756.0,0.2148,27117.0,20297.0,0.3852
Ridge,140,33743.0,24760.0,0.2147,27121.0,20298.0,0.3851
RandomForest,5,31217.0,23495.0,0.3325,27761.0,21025.0,0.3557
RandomForest,6,30928.0,23278.0,0.3454,26843.0,20650.0,0.3976
RandomForest,7,30569.0,23111.0,0.3608,26394.0,20404.0,0.4176
RandomForest,8,30800.0,23250.0,0.3511,26208.0,20308.0,0.4258
RandomForest,9,30799.0,23227.0,0.3511,26069.0,20231.0,0.4318
RandomForest,10,30572.0,23036.0,0.3608,25407.0,19806.0,0.4603
RandomForest,11,30611.0,23056.0,0.3592,25460.0,19864.0,0.4581
RandomForest,12,30515.0,23010.0,0.3632,25418.0,19831.0,0.4599
RandomForest,13,30573.0,23054.0,0.3608,25392.0,19790.0,0.461
RandomForest,14,30399.0,22898.0,0.3677,25374.0,19704.0,0.4617
RandomForest,15,30401.0,22926.0,0.3676,25348.0,19690.0,0.4628
RandomForest,16,30245.0,22788.0,0.3741,25021.0,19440.0,0.4766
RandomForest,17,30417.0,22853.0,0.3668,25073.0,19565.0,0.4745
RandomForest,18,30445.0,22860.0,0.3656,25112.0,19624.0,0.4728
RandomForest,19,30371.0,22829.0,0.3687,24923.0,19441.0,0.4807
RandomForest,20,30332.0,22768.0,0.3702,24991.0,19438.0,0.4779
RandomForest,21,30346.0,22795.0,0.3697,25000.0,19459.0,0.4775
RandomForest,22,30261.0,22743.0,0.3733,25063.0,19427.0,0.4748
RandomForest,23,30276.0,22728.0,0.3727,25047.0,19399.0,0.4755
RandomForest,24,30255.0,22738.0,0.3735,24898.0,19276.0,0.4817
RandomForest,25,30226.0,22739.0,0.3748,24960.0,19299.0,0.4792
RandomForest,26,29794.0,22553.0,0.3921,24406.0,18755.0,0.502
RandomForest,27,29766.0,22540.0,0.3933,24452.0,18705.0,0.5002
RandomForest,28,29705.0,22510.0,0.3958,24445.0,18655.0,0.5005
RandomForest,29,29741.0,22522.0,0.3943,24420.0,18678.0,0.5014
RandomForest,30,29747.0,22482.0,0.394,24372.0,18621.0,0.5034
RandomForest,31,29625.0,22380.0,0.3992,24352.0,18497.0,0.5043
RandomForest,32,29600.0,22354.0,0.4002,24301.0,18467.0,0.5063
RandomForest,33,29577.0,22366.0,0.4012,24274.0,18493.0,0.5074
RandomForest,34,29532.0,22340.0,0.403,24303.0,18513.0,0.5062
RandomForest,35,29488.0,22305.0,0.4047,24323.0,18533.0,0.5054
RandomForest,36,29494.0,22313.0,0.4046,24358.0,18582.0,0.504
RandomForest,37,29420.0,22290.0,0.4075,24551.0,18641.0,0.4961
RandomForest,38,29439.0,22305.0,0.4068,24529.0,18620.0,0.497
RandomForest,39,29435.0,22301.0,0.407,24524.0,18611.0,0.4972
RandomForest,40,29437.0,22303.0,0.4069,24538.0,18643.0,0.4966
RandomForest,41,29491.0,22359.0,0.4047,24526.0,18638.0,0.4971
RandomForest,42,29493.0,22354.0,0.4047,24549.0,18651.0,0.4962
RandomForest,43,29478.0,22344.0,0.4053,24541.0,18650.0,0.4965
RandomForest,44,29501.0,22337.0,0.4044,24500.0,18618.0,0.4982
RandomForest,45,29465.0,22332.0,0.4059,24485.0,18602.0,0.4988
RandomForest,46,29354.0,22263.0,0.4103,24593.0,18668.0,0.4944
RandomForest,47,29365.0,22276.0,0.4099,24606.0,18680.0,0.4938
RandomForest,48,29366.0,22269.0,0.4098,24623.0,18692.0,0.4932
RandomForest,49,29341.0,22239.0,0.4109,24577.0,18655.0,0.495
RandomForest,50,29344.0,22228.0,0.4108,24599.0,18697.0,0.4941
RandomForest,51,29360.0,22235.0,0.4102,24619.0,18718.0,0.4933
RandomForest,52,29355.0,22225.0,0.4104,24593.0,18723.0,0.4944
RandomForest,53,29359.0,22223.0,0.4103,24656.0,18783.0,0.4918
RandomForest,54,29355.0,22209.0,0.4105,24656.0,18776.0,0.4918
RandomForest,55,29379.0,22227.0,0.4095,24640.0,18782.0,0.4924
RandomForest,56,29418.0,22252.0,0.408,24641.0,18802.0,0.4924
RandomForest,57,29437.0,22258.0,0.4072,24658.0,18826.0,0.4917
RandomForest,58,29436.0,22261.0,0.4072,24675.0,18845.0,0.491
RandomForest,59,29419.0,22233.0,0.4079,24602.0,18782.0,0.494
RandomForest,60,29428.0,22238.0,0.4075,24615.0,18791.0,0.4934
RandomForest,61,29434.0,22258.0,0.4073,24608.0,18808.0,0.4937
RandomForest,62,29456.0,22286.0,0.4064,24696.0,18897.0,0.4901
RandomForest,63,29472.0,22300.0,0.4058,24696.0,18901.0,0.4901
RandomForest,64,29481.0,22308.0,0.4054,24722.0,18913.0,0.4891
RandomForest,65,29489.0,22317.0,0.4051,24723.0,18911.0,0.489
RandomForest,66,29513.0,22337.0,0.4041,24711.0,18883.0,0.4895
RandomForest,67,29513.0,22337.0,0.4041,24711.0,18885.0,0.4895
RandomForest,68,29513.0,22331.0,0.4041,24718.0,18878.0,0.4892
RandomForest,69,29510.0,22330.0,0.4042,24710.0,18875.0,0.4895
RandomForest,70,29497.0,22318.0,0.4048,24683.0,18812.0,0.4907
RandomForest,71,29496.0,22318.0,0.4048,24712.0,18850.0,0.4895
RandomForest,72,29505.0,22331.0,0.4044,24724.0,18861.0,0.489
RandomForest,73,29495.0,22320.0,0.4048,24690.0,18835.0,0.4904
RandomForest,74,29500.0,22318.0,0.4047,24709.0,18848.0,0.4896
RandomForest,75,29497.0,22312.0,0.4047,24715.0,18854.0,0.4893
RandomForest,76,29506.0,22321.0,0.4044,24709.0,18852.0,0.4896
RandomForest,77,29505.0,22318.0,0.4044,24712.0,18851.0,0.4895
RandomForest,78,29504.0,22301.0,0.4045,24705.0,18856.0,0.4897
RandomForest,79,29503.0,22299.0,0.4045,24701.0,18857.0,0.4899
RandomForest,80,29499.0,22286.0,0.4047,24708.0,18869.0,0.4896
RandomForest,81,29487.0,22273.0,0.4052,24676.0,18868.0,0.491
RandomForest,82,29493.0,22275.0,0.4049,24675.0,18874.0,0.491
RandomForest,83,29495.0,22274.0,0.4049,24697.0,18857.0,0.4901
RandomForest,84,29496.0,22279.0,0.4048,24670.0,18843.0,0.4912
RandomForest,85,29485.0,22265.0,0.4052,24675.0,18862.0,0.491
RandomForest,86,29485.0,22265.0,0.4052,24672.0,18870.0,0.4911
RandomForest,87,29468.0,22265.0,0.4058,24670.0,18881.0,0.4912
RandomForest,88,29481.0,22263.0,0.4053,24644.0,18826.0,0.4923
RandomForest,89,29484.0,22256.0,0.4052,24627.0,18800.0,0.493
